"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","formation","geological_group","member","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment","tectonic_setting","geology_comments"
"392708","occ","","","22689","Osteichthyes indet.","class","","","Osteichthyes","class","34881","Late Campanian","","83.6","72.2","9812","Chordata","Osteichthyes","","","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392709","occ","","","22689","Lepisosteidae indet.","family","","","Lepisosteidae","family","63030","Late Campanian","","83.6","72.2","9812","Chordata","Osteichthyes","Lepisosteiformes","Lepisosteidae","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392710","occ","18105","","22689","Hadrosaurinae indet.","subfamily","","","Hadrosaurinae","subfamily","53382","Late Campanian","","83.6","72.2","17718","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392711","occ","13285","","22689","Avisaurus gloriae n. sp.","species","","recombined as","Gettyia gloriae","species","66860","Late Campanian","","83.6","72.2","14100","Chordata","Reptilia","NO_ORDER_SPECIFIED","Avisauridae","Gettyia","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392712","occ","","","22689","Richardoestesia sp.","genus","","","Richardoestesia","genus","58873","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","NO_ORDER_SPECIFIED","Dromaeosauridae","Richardoestesia","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392713","occ","","","22689","Saurornitholestes sp.","genus","","","Saurornitholestes","genus","38567","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","NO_ORDER_SPECIFIED","Dromaeosauridae","Saurornitholestes","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392714","occ","","","22689","Dromaeosauridae indet.","family","","","Dromaeosauridae","family","38561","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","NO_ORDER_SPECIFIED","Dromaeosauridae","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392715","occ","","","22689","Ornithomimidae indet.","family","","","Ornithomimidae","family","38539","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","NO_ORDER_SPECIFIED","Ornithomimidae","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392716","occ","","","22689","Theropoda indet.","unranked clade","","","Theropoda","unranked clade","38513","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","","","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392717","occ","","","22689","Azhdarchidae indet.","family","","","Azhdarchidae","family","81005","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","Pterosauria","Azhdarchidae","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
